      Lon      Lat    Year   Stand   Patch     Veg    Repr    Soil    Fire     Est       NEE
   -71.25   -32.75    1973     140       1  -0.351   0.035   0.235   0.004   0.000  -0.07712
   -71.25   -32.75    1973     140       2  -0.496   0.050   0.279   1.133   0.000   0.96530
   -71.25   -32.75    1973     140       3  -0.567   0.057   0.287   0.017   0.000  -0.20672
   -71.25   -32.75    1973     140       4  -0.621   0.062   0.351   0.024   0.000  -0.18447
   -71.25   -32.75    1973     160       0  -0.650   0.065   0.455   0.360   0.000   0.23033
   -71.25   -32.75    1973     160       1  -0.459   0.046   0.202   0.004   0.000  -0.20766
   -71.25   -32.75    1973     160       2  -0.531   0.053   0.306   0.015   0.000  -0.15652
   -71.25   -32.75    1973     160       3  -0.397   0.040   0.229   0.007   0.000  -0.12111
   -71.25   -32.75    1973     160       4  -0.397   0.040   0.235   0.010   0.000  -0.11270
   -71.25   -32.75    1974       0       0  -0.259   0.026   0.247   0.037   0.000   0.05081
   -71.25   -32.75    1974       0       1   0.000  -0.000   0.333   0.002  -1.410  -1.07456
   -71.25   -32.75    1974       0       2  -0.407   0.041   0.243   0.293   0.000   0.17003
   -71.25   -32.75    1974       0       3  -0.252   0.025   0.361   0.000   0.000   0.13444
   -71.25   -32.75    1974       0       4  -0.276   0.028   0.250   0.324   0.000   0.32654
   -71.25   -32.75    1974     110       0  -0.270   0.027   0.249   0.014   0.000   0.02013
   -71.25   -32.75    1974     110       1  -0.304   0.030   0.262   0.018   0.000   0.00696
   -71.25   -32.75    1974     110       2  -0.448   0.045   0.391   0.604   0.000   0.59230
   -71.25   -32.75    1974     110       3  -0.453   0.045   0.384   0.056   0.000   0.03254
   -71.25   -32.75    1974     110       4  -0.268   0.027   0.299   0.020   0.000   0.07839
   -71.25   -32.75    1974     131       0  -0.353   0.035   0.314   0.039   0.000   0.03582
   -71.25   -32.75    1974     131       1  -0.367   0.037   0.392   0.093   0.000   0.15478
   -71.25   -32.75    1974     131       2  -0.298   0.030   0.387   0.010  -0.021   0.10723
   -71.25   -32.75    1974     131       3  -0.284   0.028   0.253   0.013   0.000   0.01091
   -71.25   -32.75    1974     131       4  -0.443   0.044   0.381   0.048   0.000   0.03070
   -71.25   -32.75    1974     132       0  -0.346   0.035   0.252   0.013  -0.065  -0.11130
   -71.25   -32.75    1974     132       1  -0.176   0.018   0.228   0.012   0.000   0.08184
   -71.25   -32.75    1974     132       2  -0.574   0.057   0.456   0.375  -0.004   0.30962
   -71.25   -32.75    1974     132       3  -0.199   0.020   0.214   0.032   0.000   0.06698
   -71.25   -32.75    1974     132       4  -0.474   0.047   0.490   0.308  -0.008   0.36329
   -71.25   -32.75    1974     133       0  -0.362   0.036   0.312   0.466   0.000   0.45220
   -71.25   -32.75    1974     133       1  -0.254   0.025   0.272   0.013   0.000   0.05632
   -71.25   -32.75    1974     133       2  -0.238   0.024   0.204   0.009   0.000  -0.00129
   -71.25   -32.75    1974     133       3  -0.348   0.035   0.325   0.030   0.000   0.04157
   -71.25   -32.75    1974     133       4  -0.434   0.043   0.402   0.049   0.000   0.06062
   -71.25   -32.75    1974     134       0  -0.330   0.033   0.313   0.469   0.000   0.48441
   -71.25   -32.75    1974     134       1  -0.430   0.043   0.387   0.063   0.000   0.06194
   -71.25   -32.75    1974     134       2  -0.282   0.028   0.255   0.286   0.000   0.28684
   -71.25   -32.75    1974     134       3  -0.255   0.025   0.311   0.000   0.000   0.08113
   -71.25   -32.75    1974     134       4  -0.313   0.031   0.289   0.022   0.000   0.02960
   -71.25   -32.75    1974     140       0  -0.415   0.042   0.367   0.047   0.000   0.03987
   -71.25   -32.75    1974     140       1  -0.224   0.022   0.233   0.014   0.000   0.04476
   -71.25   -32.75    1974     140       2  -0.093   0.009   0.422   0.123   0.000   0.46152
   -71.25   -32.75    1974     140       3  -0.391   0.039   0.335   0.435   0.000   0.41778
   -71.25   -32.75    1974     140       4  -0.436   0.044   0.391   0.054   0.000   0.05219
   -71.25   -32.75    1974     160       0  -0.531   0.053   0.478   0.028  -0.012   0.01556
   -71.25   -32.75    1974     160       1  -0.323   0.032   0.249   0.018   0.000  -0.02454
   -71.25   -32.75    1974     160       2  -0.390   0.039   0.336   0.046   0.000   0.03141
   -71.25   -32.75    1974     160       3  -0.255   0.025   0.253   0.027   0.000   0.05035
   -71.25   -32.75    1974     160       4  -0.250   0.025   0.231   0.032   0.000   0.03848
   -71.25   -32.75    1975       0       0  -0.287   0.029   0.242   0.012   0.000  -0.00401
   -71.25   -32.75    1975       0       1  -0.112   0.027   0.152   0.142   0.000   0.20908
   -71.25   -32.75    1975       0       2  -0.338   0.034   0.354   0.005   0.000   0.05492
   -71.25   -32.75    1975       0       3  -0.294   0.029   0.265   0.000   0.000   0.00090
   -71.25   -32.75    1975       0       4  -0.238   0.024   0.301   0.000   0.000   0.08659
   -71.25   -32.75    1975     110       0  -0.322   0.032   0.249   0.004   0.000  -0.03634
   -71.25   -32.75    1975     110       1  -0.349   0.035   0.310   0.008   0.000   0.00394
   -71.25   -32.75    1975     110       2  -0.387   0.039   0.515   0.008  -0.010   0.16457
   -71.25   -32.75    1975     110       3  -0.462   0.046   0.408   0.026   0.000   0.01731
   -71.25   -32.75    1975     110       4  -0.325   0.032   0.272   0.006   0.000  -0.01492
   -71.25   -32.75    1975     131       0  -0.376   0.038   0.315   0.014   0.000  -0.00925
   -71.25   -32.75    1975     131       1  -0.438   0.044   0.407   0.039   0.000   0.05256
   -71.25   -32.75    1975     131       2  -0.330   0.033   0.257   0.005   0.000  -0.03550
   -71.25   -32.75    1975     131       3  -0.259   0.026   0.260   0.000   0.000   0.02676
   -71.25   -32.75    1975     131       4  -0.487   0.049   0.417   0.023  -0.003  -0.00092
   -71.25   -32.75    1975     132       0  -0.364   0.036   0.229   0.015   0.000  -0.08364
   -71.25   -32.75    1975     132       1  -0.181   0.018   0.197   0.004   0.000   0.03821
   -71.25   -32.75    1975     132       2  -0.453   0.045   0.403   0.006   0.000   0.00020
   -71.25   -32.75    1975     132       3  -0.235   0.024   0.218   0.009   0.000   0.01596
   -71.25   -32.75    1975     132       4  -0.395   0.039   0.409   0.008   0.000   0.06246
   -71.25   -32.75    1975     133       0  -0.306   0.031   0.409   0.006   0.000   0.13993
   -71.25   -32.75    1975     133       1  -0.331   0.033   0.263   0.004   0.000  -0.03150
