      Lon      Lat    Year   Stand   Patch     dep     fix    fert    flux   leach     NEE
   -71.25   -32.75    1953       0       0   -0.49   -0.31   -0.00    0.59    0.43    0.22
   -71.25   -32.75    1953       0       1   -0.49   -0.33   -0.00    1.38    0.33    0.88
   -71.25   -32.75    1953       0       2   -0.49   -0.58   -0.00    4.45    0.02    3.40
   -71.25   -32.75    1953       0       3   -0.49   -0.24   -0.00    1.08    0.28    0.64
   -71.25   -32.75    1953       0       4   -0.49   -0.21   -0.00    0.64    0.38    0.31
   -71.25   -32.75    1953     110       0   -0.49   -0.00   -0.00    0.91    0.03    0.45
   -71.25   -32.75    1953     110       1   -0.49   -0.00   -0.00    0.86    0.03    0.39
   -71.25   -32.75    1953     110       2   -0.49   -0.00   -0.00    0.93    0.03    0.46
   -71.25   -32.75    1953     110       3   -0.49   -0.13   -0.00    0.60    0.02   -0.00
   -71.25   -32.75    1953     110       4   -0.49   -0.94   -0.00   20.98    0.01   19.55
   -71.25   -32.75    1953     131       0   -0.49   -0.16   -0.00    2.06    0.02    1.42
   -71.25   -32.75    1953     131       1   -0.49   -0.05   -0.00    0.72    0.03    0.21
   -71.25   -32.75    1953     131       2   -0.49   -0.11   -0.00    0.84    0.03    0.27
   -71.25   -32.75    1953     131       3   -0.49   -0.48   -0.00   12.55    0.02   11.59
   -71.25   -32.75    1953     131       4   -0.49   -0.14   -0.00    1.19    0.02    0.58
   -71.25   -32.75    1953     132       0   -0.49   -0.14   -0.00    1.29    0.03    0.68
   -71.25   -32.75    1953     132       1   -0.49   -0.00   -0.00    0.63    0.02    0.16
   -71.25   -32.75    1953     132       2   -0.49   -0.01   -0.00    0.61    0.02    0.13
   -71.25   -32.75    1953     132       3   -0.49   -0.03   -0.00    0.79    0.03    0.29
   -71.25   -32.75    1953     132       4   -0.49   -0.11   -0.00    0.55    0.02   -0.03
   -71.25   -32.75    1953     133       0   -0.49   -0.13   -0.00    1.22    0.03    0.62
   -71.25   -32.75    1953     133       1   -0.49   -0.25   -0.00    5.72    0.01    4.99
   -71.25   -32.75    1953     133       2   -0.49   -0.39   -0.00    3.30    0.01    2.43
   -71.25   -32.75    1953     133       3   -0.49   -0.16   -0.00    1.74    0.01    1.10
   -71.25   -32.75    1953     133       4   -0.49   -0.03   -0.00    0.78    0.03    0.29
   -71.25   -32.75    1953     134       0   -0.49   -0.12   -0.00    0.93    0.03    0.34
   -71.25   -32.75    1953     134       1   -0.49   -1.40   -0.00   15.53    0.01   13.65
   -71.25   -32.75    1953     134       2   -0.49   -0.22   -0.00    5.01    0.01    4.31
   -71.25   -32.75    1953     134       3   -0.49   -0.12   -0.00    0.80    0.03    0.22
   -71.25   -32.75    1953     134       4   -0.49   -0.00   -0.00    0.82    0.03    0.36
   -71.25   -32.75    1953     140       0   -0.49   -0.16   -0.00    5.47    0.01    4.83
   -71.25   -32.75    1953     140       1   -0.49   -0.96   -0.00   26.61    0.02   25.17
   -71.25   -32.75    1953     140       2   -0.49   -0.04   -0.00    0.45    0.11    0.03
   -71.25   -32.75    1953     140       3   -0.49   -0.00   -0.00    0.77    0.03    0.31
   -71.25   -32.75    1953     140       4   -0.49   -0.04   -0.00    0.80    0.03    0.29
   -71.25   -32.75    1953     160       0   -0.49   -0.06   -0.00    0.69    0.44    0.58
   -71.25   -32.75    1953     160       1   -0.49   -0.25   -0.00    6.38    0.07    5.71
