      Lon      Lat    Year   Stand   Patch     dep     fix    fert   input    min    imm netmin  Total
   -71.25   -32.75    1953     160       2    0.49    0.17    0.00    0.66 144.68 112.29  32.40  33.06
   -71.25   -32.75    1953     160       3    0.49    1.48    0.00    1.97 168.11 118.40  49.71  51.68
   -71.25   -32.75    1953     160       4    0.49    0.02    0.00    0.51  55.00  32.19  22.80  23.31
   -71.25   -32.75    1954       0       0    0.49    0.79    0.00    1.28  71.35  40.17  31.18  32.46
   -71.25   -32.75    1954       0       1    0.49    0.91    0.00    1.40  73.65  45.80  27.85  29.25
   -71.25   -32.75    1954       0       2    0.49    0.92    0.00    1.42  86.18  57.24  28.93  30.35
   -71.25   -32.75    1954       0       3    0.49    0.83    0.00    1.32  63.92  39.30  24.62  25.94
   -71.25   -32.75    1954       0       4    0.49    0.71    0.00    1.20  68.28  38.93  29.34  30.55
   -71.25   -32.75    1954     110       0    0.49    1.04    0.00    1.54  96.57  37.47  59.10  60.64
   -71.25   -32.75    1954     110       1    0.49    0.01    0.00    0.50 103.37  54.34  49.02  49.53
   -71.25   -32.75    1954     110       2    0.49    0.01    0.00    0.50 110.52  56.70  53.82  54.32
   -71.25   -32.75    1954     110       3    0.49    0.11    0.00    0.60  73.26  40.12  33.14  33.74
   -71.25   -32.75    1954     110       4    0.49    0.49    0.00    0.98 143.75 183.08 -39.33 -38.34
   -71.25   -32.75    1954     131       0    0.49    0.33    0.00    0.82  99.33  55.80  43.53  44.35
   -71.25   -32.75    1954     131       1    0.49    0.09    0.00    0.58  90.72  49.82  40.90  41.49
   -71.25   -32.75    1954     131       2    0.49    0.09    0.00    0.59 105.30  52.09  53.21  53.80
   -71.25   -32.75    1954     131       3    0.49    0.38    0.00    0.87 157.03 161.23  -4.20  -3.33
   -71.25   -32.75    1954     131       4    0.49    0.16    0.00    0.65  91.83  48.39  43.45  44.10
   -71.25   -32.75    1954     132       0    0.49    0.13    0.00    0.62  88.41  49.12  39.29  39.91
   -71.25   -32.75    1954     132       1    0.49    0.15    0.00    0.64  80.98  45.04  35.94  36.58
   -71.25   -32.75    1954     132       2    0.49    0.12    0.00    0.62  76.01  43.06  32.95  33.57
   -71.25   -32.75    1954     132       3    0.49    0.13    0.00    0.62  89.78  52.03  37.75  38.38
   -71.25   -32.75    1954     132       4    0.49    0.10    0.00    0.59  76.95  45.98  30.97  31.56
   -71.25   -32.75    1954     133       0    0.49    0.13    0.00    0.62  98.46  52.43  46.03  46.65
   -71.25   -32.75    1954     133       1    0.49    0.26    0.00    0.75 106.44 102.45   4.00   4.75
   -71.25   -32.75    1954     133       2    0.49    0.91    0.00    1.40  61.49  56.51   4.97   6.38
   -71.25   -32.75    1954     133       3    0.49    0.32    0.00    0.81  98.96  55.79  43.16  43.98
   -71.25   -32.75    1954     133       4    0.49    0.09    0.00    0.58  96.01  51.96  44.05  44.63
   -71.25   -32.75    1954     134       0    0.49    0.16    0.00    0.65  97.85  53.16  44.69  45.34
   -71.25   -32.75    1954     134       1    0.49    1.06    0.00    1.55 157.76 144.10  13.66  15.21
   -71.25   -32.75    1954     134       2    0.49    0.44    0.00    0.93  97.81  62.14  35.67  36.60
   -71.25   -32.75    1954     134       3    0.49    0.15    0.00    0.64  92.95  47.04  45.92  46.56
   -71.25   -32.75    1954     134       4    0.49    0.02    0.00    0.51  96.55  54.52  42.03  42.54
   -71.25   -32.75    1954     140       0    0.49    0.60    0.00    1.09 108.68  66.17  42.52  43.60
   -71.25   -32.75    1954     140       1    0.49    0.39    0.00    0.89 212.81 219.06  -6.26  -5.37
   -71.25   -32.75    1954     140       2    0.49    0.24    0.00    0.73  69.04  41.95  27.09  27.81
   -71.25   -32.75    1954     140       3    0.49    0.03    0.00    0.52  91.57  50.69  40.88  41.41
   -71.25   -32.75    1954     140       4    0.49    0.05    0.00    0.55  94.84  47.55  47.28  47.83
   -71.25   -32.75    1954     160       0    0.49    0.36    0.00    0.85  81.86  47.26  34.61  35.46
   -71.25   -32.75    1954     160       1    0.49    0.64    0.00    1.13 103.43  73.16  30.27  31.40
   -71.25   -32.75    1954     160       2    0.49    0.54    0.00    1.04 127.86  78.39  49.47  50.51
   -71.25   -32.75    1954     160       3    0.49    1.01    0.00    1.51 197.72 166.20  31.52  33.03
   -71.25   -32.75    1954     160       4    0.49    0.24    0.00    0.73  48.46  26.87  21.59  22.32
   -71.25   -32.75    1955       0       0    0.49    0.64    0.00    1.13  62.21  35.64  26.57  27.70
   -71.25   -32.75    1955       0       1    0.49    1.03    0.00    1.52  76.49  57.17  19.32  20.84
   -71.25   -32.75    1955       0       2    0.49    1.03    0.00    1.52 101.25  78.35  22.90  24.42
   -71.25   -32.75    1955       0       3    0.49    1.06    0.00    1.55  68.91  54.82  14.10  15.65
   -71.25   -32.75    1955       0       4    0.49    0.75    0.00    1.24  64.23  42.19  22.04  23.28
   -71.25   -32.75    1955     110       0    0.49    3.72    0.00    4.21 136.47  22.52 113.95 118.16
   -71.25   -32.75    1955     110       1    0.49    0.09    0.00    0.58  90.04  44.36  45.68  46.26
   -71.25   -32.75    1955     110       2    0.49    0.11    0.00    0.60  96.37  46.48  49.88  50.49
   -71.25   -32.75    1955     110       3    0.49    0.31    0.00    0.80  66.52  35.77  30.74  31.55
   -71.25   -32.75    1955     110       4    0.49    0.56    0.00    1.05 191.08 169.22  21.86  22.92
   -71.25   -32.75    1955     131       0    0.49    0.93    0.00    1.42 101.77  69.82  31.95  33.38
