      Lon      Lat    Year   Stand   Patch      NH3      NOx      N2O       N2    NSoil    Total
   -71.25   -32.75    1986     110       2    0.008    0.370    0.056    1.127    0.828    2.389
   -71.25   -32.75    1986     110       3    0.006    0.284    0.043    0.865    0.694    1.892
   -71.25   -32.75    1986     110       4    0.004    0.203    0.031    0.617    0.576    1.431
   -71.25   -32.75    1986     131       0    0.004    0.192    0.029    0.586    0.824    1.636
   -71.25   -32.75    1986     131       1    0.021    1.015    0.154    3.091    0.887    5.168
   -71.25   -32.75    1986     131       2    0.005    0.255    0.039    0.778    0.616    1.694
   -71.25   -32.75    1986     131       3    0.003    0.146    0.022    0.446    0.574    1.192
   -71.25   -32.75    1986     131       4    0.165    7.829    1.189   23.851    0.785   33.819
   -71.25   -32.75    1986     132       0    0.003    0.140    0.021    0.427    0.518    1.110
   -71.25   -32.75    1986     132       1    0.032    1.534    0.233    4.672    0.550    7.021
   -71.25   -32.75    1986     132       2    0.014    0.642    0.098    1.956    0.781    3.490
   -71.25   -32.75    1986     132       3    0.025    1.203    0.183    3.666    0.635    5.712
   -71.25   -32.75    1986     132       4    0.013    0.593    0.090    1.805    0.906    3.407
   -71.25   -32.75    1986     133       0    0.004    0.167    0.025    0.509    0.888    1.594
   -71.25   -32.75    1986     133       1    0.011    0.499    0.076    1.521    0.639    2.746
   -71.25   -32.75    1986     133       2    0.002    0.086    0.013    0.263    0.370    0.735
   -71.25   -32.75    1986     133       3    0.011    0.530    0.081    1.616    0.721    2.958
   -71.25   -32.75    1986     133       4    0.012    0.554    0.084    1.689    0.709    3.048
   -71.25   -32.75    1986     134       0    0.007    0.325    0.049    0.989    0.724    2.093
   -71.25   -32.75    1986     134       1    0.036    1.715    0.261    5.225    0.965    8.201
   -71.25   -32.75    1986     134       2    0.003    0.132    0.020    0.404    0.614    1.173
   -71.25   -32.75    1986     134       3    0.000    0.000    0.000    0.000    0.938    0.938
   -71.25   -32.75    1986     134       4    0.004    0.197    0.030    0.599    0.689    1.519
   -71.25   -32.75    1986     140       0    0.009    0.436    0.066    1.328    0.776    2.614
   -71.25   -32.75    1986     140       1    0.002    0.109    0.017    0.331    0.524    0.982
   -71.25   -32.75    1986     140       2    0.008    0.388    0.059    1.182    0.569    2.207
   -71.25   -32.75    1986     140       3    0.007    0.326    0.049    0.992    0.787    2.160
   -71.25   -32.75    1986     140       4    0.011    0.506    0.077    1.542    0.752    2.887
   -71.25   -32.75    1986     160       0    0.022    1.056    0.160    3.218    0.845    5.301
   -71.25   -32.75    1986     160       1    0.007    0.332    0.050    1.011    0.712    2.112
   -71.25   -32.75    1986     160       2    0.008    0.362    0.055    1.103    1.025    2.554
   -71.25   -32.75    1986     160       3    0.010    0.450    0.068    1.372    0.656    2.557
   -71.25   -32.75    1986     160       4    0.004    0.177    0.027    0.540    0.441    1.188
   -71.25   -32.75    1987       0       0    0.003    0.149    0.023    0.454    0.671    1.299
   -71.25   -32.75    1987       0       1    0.021    1.018    0.155    3.102    0.870    5.166
   -71.25   -32.75    1987       0       2    0.017    0.802    0.122    2.443    0.911    4.295
   -71.25   -32.75    1987       0       3    0.000    0.000    0.000    0.000    0.988    0.988
   -71.25   -32.75    1987       0       4    0.000    0.000    0.000    0.000    0.686    0.686
   -71.25   -32.75    1987     110       0    0.002    0.101    0.015    0.307    0.623    1.049
   -71.25   -32.75    1987     110       1    0.002    0.115    0.017    0.349    0.603    1.086
   -71.25   -32.75    1987     110       2    0.005    0.224    0.034    0.684    0.734    1.681
   -71.25   -32.75    1987     110       3    0.004    0.179    0.027    0.544    0.747    1.501
   -71.25   -32.75    1987     110       4    0.002    0.110    0.017    0.336    0.529    0.994
   -71.25   -32.75    1987     131       0    0.002    0.110    0.017    0.334    0.568    1.031
   -71.25   -32.75    1987     131       1    0.021    0.991    0.151    3.020    0.899    5.082
   -71.25   -32.75    1987     131       2    0.003    0.139    0.021    0.424    0.646    1.233
   -71.25   -32.75    1987     131       3    0.002    0.082    0.012    0.249    0.546    0.891
   -71.25   -32.75    1987     131       4    0.003    0.128    0.019    0.390    0.781    1.321
   -71.25   -32.75    1987     132       0    0.002    0.077    0.012    0.236    0.549    0.875
   -71.25   -32.75    1987     132       1    0.025    1.187    0.180    3.615    0.736    5.743
   -71.25   -32.75    1987     132       2    0.008    0.359    0.055    1.094    0.856    2.372
   -71.25   -32.75    1987     132       3    0.015    0.700    0.106    2.132    0.693    3.646
   -71.25   -32.75    1987     132       4    0.007    0.309    0.047    0.943    0.849    2.154
   -71.25   -32.75    1987     133       0    0.002    0.086    0.013    0.263    0.570    0.935
   -71.25   -32.75    1987     133       1    0.030    1.430    0.217    4.357    0.741    6.776
   -71.25   -32.75    1987     133       2    0.001    0.057    0.009    0.173    0.407    0.647
   -71.25   -32.75    1987     133       3    0.006    0.274    0.042    0.836    0.683    1.841
   -71.25   -32.75    1987     133       4    0.006    0.304    0.046    0.927    0.775    2.059
   -71.25   -32.75    1987     134       0    0.003    0.159    0.024    0.484    0.747    1.417
   -71.25   -32.75    1987     134       1    0.131    6.227    0.946   18.969    1.031   27.303
   -71.25   -32.75    1987     134       2    0.002    0.073    0.011    0.222    0.488    0.796
   -71.25   -32.75    1987     134       3    0.075    3.566    0.542   10.862    1.059   16.104
   -71.25   -32.75    1987     134       4    0.002    0.106    0.016    0.323    0.732    1.179
   -71.25   -32.75    1987     140       0    0.005    0.226    0.034    0.687    0.669    1.620
   -71.25   -32.75    1987     140       1    0.001    0.058    0.009    0.176    0.570    0.814
   -71.25   -32.75    1987     140       2    0.002    0.103    0.016    0.315    0.588    1.024
   -71.25   -32.75    1987     140       3    0.004    0.171    0.026    0.522    0.685    1.408
   -71.25   -32.75    1987     140       4    0.006    0.298    0.045    0.907    0.860    2.116
   -71.25   -32.75    1987     160       0    0.015    0.714    0.109    2.177    0.919    3.933
   -71.25   -32.75    1987     160       1    0.004    0.171    0.026    0.520    0.732    1.452
   -71.25   -32.75    1987     160       2    0.008    0.364    0.055    1.109    0.632    2.168
   -71.25   -32.75    1987     160       3    0.213   10.104    1.535   30.780    0.706   43.337
   -71.25   -32.75    1987     160       4    0.002    0.100    0.015    0.304    0.469    0.891
   -71.25   -32.75    1988       0       0    0.013    0.597    0.091    1.818    0.625    3.143
   -71.25   -32.75    1988       0       1    0.147    6.960    1.057   21.204    0.863   30.232
   -71.25   -32.75    1988       0       2    0.063    2.964    0.450    9.030    0.830   13.336
   -71.25   -32.75    1988       0       3    0.151    7.171    1.089   21.845    1.069   31.326
   -71.25   -32.75    1988       0       4    0.000    0.000    0.000    0.000    0.674    0.674
   -71.25   -32.75    1988     110       0    0.004    0.206    0.031    0.627    0.649    1.517
   -71.25   -32.75    1988     110       1    0.005    0.252    0.038    0.767    0.612    1.674
   -71.25   -32.75    1988     110       2    0.162    7.671    1.165   23.370    0.708   33.076
   -71.25   -32.75    1988     110       3    0.003    0.157    0.024    0.477    0.607    1.268
   -71.25   -32.75    1988     110       4    0.005    0.220    0.033    0.670    0.545    1.473
   -71.25   -32.75    1988     131       0    0.009    0.420    0.064    1.280    0.588    2.361
   -71.25   -32.75    1988     131       1    0.063    2.991    0.454    9.111    0.886   13.506
   -71.25   -32.75    1988     131       2    0.008    0.356    0.054    1.085    0.652    2.155
   -71.25   -32.75    1988     131       3    0.004    0.208    0.032    0.634    0.555    1.433
   -71.25   -32.75    1988     131       4    0.126    5.964    0.906   18.170    0.862   26.028
   -71.25   -32.75    1988     132       0    0.004    0.212    0.032    0.646    0.569    1.463
   -71.25   -32.75    1988     132       1    0.092    4.357    0.662   13.273    0.896   19.280
   -71.25   -32.75    1988     132       2    0.159    7.528    1.143   22.932    0.860   32.622
   -71.25   -32.75    1988     132       3    0.046    2.187    0.332    6.664    0.707    9.936
   -71.25   -32.75    1988     132       4    0.022    1.046    0.159    3.188    0.832    5.247
   -71.25   -32.75    1988     133       0    0.055    2.585    0.393    7.874    0.600   11.506
   -71.25   -32.75    1988     133       1    0.029    1.381    0.210    4.207    0.620    6.446
