      Lon      Lat    Year   Stand   Patch  FireRT
   -71.25   -32.75    1954     160       3     7.0
   -71.25   -32.75    1954     160       4   100.5
   -71.25   -32.75    1955       0       0    21.8
   -71.25   -32.75    1955       0       1     7.4
   -71.25   -32.75    1955       0       2     6.6
   -71.25   -32.75    1955       0       3     7.4
   -71.25   -32.75    1955       0       4    10.4
   -71.25   -32.75    1955     110       0     3.7
   -71.25   -32.75    1955     110       1   113.9
   -71.25   -32.75    1955     110       2   114.3
   -71.25   -32.75    1955     110       3    30.6
   -71.25   -32.75    1955     110       4    11.4
   -71.25   -32.75    1955     131       0     4.7
   -71.25   -32.75    1955     131       1   102.4
   -71.25   -32.75    1955     131       2    86.2
   -71.25   -32.75    1955     131       3     5.2
   -71.25   -32.75    1955     131       4    10.0
   -71.25   -32.75    1955     132       0    15.4
   -71.25   -32.75    1955     132       1   112.5
   -71.25   -32.75    1955     132       2   113.3
   -71.25   -32.75    1955     132       3   113.0
   -71.25   -32.75    1955     132       4    85.6
   -71.25   -32.75    1955     133       0    13.6
   -71.25   -32.75    1955     133       1    13.0
   -71.25   -32.75    1955     133       2     4.2
   -71.25   -32.75    1955     133       3     5.5
   -71.25   -32.75    1955     133       4   105.9
   -71.25   -32.75    1955     134       0    60.2
   -71.25   -32.75    1955     134       1     8.5
   -71.25   -32.75    1955     134       2     4.6
   -71.25   -32.75    1955     134       3    76.2
   -71.25   -32.75    1955     134       4   114.4
   -71.25   -32.75    1955     140       0     4.4
   -71.25   -32.75    1955     140       1     5.4
   -71.25   -32.75    1955     140       2    98.3
   -71.25   -32.75    1955     140       3   113.7
   -71.25   -32.75    1955     140       4    61.5
   -71.25   -32.75    1955     160       0   111.7
   -71.25   -32.75    1955     160       1     4.5
   -71.25   -32.75    1955     160       2     4.7
   -71.25   -32.75    1955     160       3     4.6
   -71.25   -32.75    1955     160       4   112.8
   -71.25   -32.75    1956       0       0    10.0
   -71.25   -32.75    1956       0       1     8.1
   -71.25   -32.75    1956       0       2     8.8
   -71.25   -32.75    1956       0       3     8.1
   -71.25   -32.75    1956       0       4     8.7
   -71.25   -32.75    1956     110       0    21.7
   -71.25   -32.75    1956     110       1    81.4
   -71.25   -32.75    1956     110       2    90.9
   -71.25   -32.75    1956     110       3    10.5
   -71.25   -32.75    1956     110       4     8.7
   -71.25   -32.75    1956     131       0     6.9
   -71.25   -32.75    1956     131       1    27.2
   -71.25   -32.75    1956     131       2    16.6
   -71.25   -32.75    1956     131       3     7.5
   -71.25   -32.75    1956     131       4     8.1
   -71.25   -32.75    1956     132       0     9.2
   -71.25   -32.75    1956     132       1    70.3
   -71.25   -32.75    1956     132       2    77.9
   -71.25   -32.75    1956     132       3    76.6
   -71.25   -32.75    1956     132       4    16.4
   -71.25   -32.75    1956     133       0     8.6
   -71.25   -32.75    1956     133       1    12.5
   -71.25   -32.75    1956     133       2     7.3
   -71.25   -32.75    1956     133       3     7.3
   -71.25   -32.75    1956     133       4    32.6
   -71.25   -32.75    1956     134       0    12.7
   -71.25   -32.75    1956     134       1    11.8
   -71.25   -32.75    1956     134       2     7.1
   -71.25   -32.75    1956     134       3    14.5
   -71.25   -32.75    1956     134       4    83.7
   -71.25   -32.75    1956     140       0     7.6
   -71.25   -32.75    1956     140       1     7.3
   -71.25   -32.75    1956     140       2    24.0
   -71.25   -32.75    1956     140       3    81.4
   -71.25   -32.75    1956     140       4    12.9
   -71.25   -32.75    1956     160       0    62.7
   -71.25   -32.75    1956     160       1     7.6
   -71.25   -32.75    1956     160       2     7.5
   -71.25   -32.75    1956     160       3     7.6
   -71.25   -32.75    1956     160       4    55.5
   -71.25   -32.75    1957       0       0     5.8
   -71.25   -32.75    1957       0       1     5.6
   -71.25   -32.75    1957       0       2     5.7
   -71.25   -32.75    1957       0       3     7.1
   -71.25   -32.75    1957       0       4     5.7
   -71.25   -32.75    1957     110       0     9.9
   -71.25   -32.75    1957     110       1    41.9
   -71.25   -32.75    1957     110       2   117.7
   -71.25   -32.75    1957     110       3     5.6
   -71.25   -32.75    1957     110       4     7.3
   -71.25   -32.75    1957     131       0     5.4
   -71.25   -32.75    1957     131       1    10.6
   -71.25   -32.75    1957     131       2     6.8
   -71.25   -32.75    1957     131       3     6.7
   -71.25   -32.75    1957     131       4     5.2
   -71.25   -32.75    1957     132       0     6.9
   -71.25   -32.75    1957     132       1    45.8
   -71.25   -32.75    1957     132       2    57.0
   -71.25   -32.75    1957     132       3    51.2
   -71.25   -32.75    1957     132       4     6.8
   -71.25   -32.75    1957     133       0     6.8
   -71.25   -32.75    1957     133       1     5.8
   -71.25   -32.75    1957     133       2     5.4
   -71.25   -32.75    1957     133       3     5.3
   -71.25   -32.75    1957     133       4    12.5
   -71.25   -32.75    1957     134       0     6.1
   -71.25   -32.75    1957     134       1     7.9
   -71.25   -32.75    1957     134       2     5.4
   -71.25   -32.75    1957     134       3     6.7
   -71.25   -32.75    1957     134       4    61.4
   -71.25   -32.75    1957     140       0     5.6
   -71.25   -32.75    1957     140       1     5.4
   -71.25   -32.75    1957     140       2     9.5
   -71.25   -32.75    1957     140       3    52.8
   -71.25   -32.75    1957     140       4     6.2
   -71.25   -32.75    1957     160       0    33.7
   -71.25   -32.75    1957     160       1     5.3
   -71.25   -32.75    1957     160       2     5.5
   -71.25   -32.75    1957     160       3     5.6
   -71.25   -32.75    1957     160       4    28.8
   -71.25   -32.75    1958       0       0     6.2
   -71.25   -32.75    1958       0       1     3.8
   -71.25   -32.75    1958       0       2     3.9
   -71.25   -32.75    1958       0       3     4.3
   -71.25   -32.75    1958       0       4     3.9
   -71.25   -32.75    1958     110       0     7.2
   -71.25   -32.75    1958     110       1    28.3
   -71.25   -32.75    1958     110       2     3.1
   -71.25   -32.75    1958     110       3     3.6
   -71.25   -32.75    1958     110       4     4.3
   -71.25   -32.75    1958     131       0     3.7
   -71.25   -32.75    1958     131       1     4.1
   -71.25   -32.75    1958     131       2     4.0
   -71.25   -32.75    1958     131       3     4.0
   -71.25   -32.75    1958     131       4     3.6
   -71.25   -32.75    1958     132       0     4.2
   -71.25   -32.75    1958     132       1    49.1
   -71.25   -32.75    1958     132       2    59.1
   -71.25   -32.75    1958     132       3    47.1
   -71.25   -32.75    1958     132       4     7.2
   -71.25   -32.75    1958     133       0     3.6
   -71.25   -32.75    1958     133       1     3.8
   -71.25   -32.75    1958     133       2     3.6
   -71.25   -32.75    1958     133       3     3.9
   -71.25   -32.75    1958     133       4     4.7
   -71.25   -32.75    1958     134       0     6.9
   -71.25   -32.75    1958     134       1     4.5
   -71.25   -32.75    1958     134       2     3.8
   -71.25   -32.75    1958     134       3     4.1
   -71.25   -32.75    1958     134       4    62.9
   -71.25   -32.75    1958     140       0     4.0
   -71.25   -32.75    1958     140       1     3.8
   -71.25   -32.75    1958     140       2     4.7
   -71.25   -32.75    1958     140       3    38.2
   -71.25   -32.75    1958     140       4     3.9
   -71.25   -32.75    1958     160       0    17.6
   -71.25   -32.75    1958     160       1     3.7
   -71.25   -32.75    1958     160       2     3.6
   -71.25   -32.75    1958     160       3     3.9
   -71.25   -32.75    1958     160       4    15.8
   -71.25   -32.75    1959       0       0     4.3
   -71.25   -32.75    1959       0       1     3.9
   -71.25   -32.75    1959       0       2     3.9
   -71.25   -32.75    1959       0       3     6.4
   -71.25   -32.75    1959       0       4     5.9
   -71.25   -32.75    1959     110       0     6.4
   -71.25   -32.75    1959     110       1     7.9
   -71.25   -32.75    1959     110       2     8.6
   -71.25   -32.75    1959     110       3     6.6
   -71.25   -32.75    1959     110       4     6.4
   -71.25   -32.75    1959     131       0     4.0
   -71.25   -32.75    1959     131       1     3.7
   -71.25   -32.75    1959     131       2     3.8
   -71.25   -32.75    1959     131       3     3.9
   -71.25   -32.75    1959     131       4     3.7
   -71.25   -32.75    1959     132       0     3.8
   -71.25   -32.75    1959     132       1    28.5
   -71.25   -32.75    1959     132       2    24.0
   -71.25   -32.75    1959     132       3    15.3
   -71.25   -32.75    1959     132       4     4.1
   -71.25   -32.75    1959     133       0     3.7
   -71.25   -32.75    1959     133       1     3.8
   -71.25   -32.75    1959     133       2     3.8
   -71.25   -32.75    1959     133       3     4.0
   -71.25   -32.75    1959     133       4     3.7
   -71.25   -32.75    1959     134       0     4.3
   -71.25   -32.75    1959     134       1     4.0
   -71.25   -32.75    1959     134       2     4.1
   -71.25   -32.75    1959     134       3     3.9
   -71.25   -32.75    1959     134       4    29.0
   -71.25   -32.75    1959     140       0     4.6
   -71.25   -32.75    1959     140       1     3.9
   -71.25   -32.75    1959     140       2     6.5
   -71.25   -32.75    1959     140       3     8.6
   -71.25   -32.75    1959     140       4     3.8
   -71.25   -32.75    1959     160       0     5.7
   -71.25   -32.75    1959     160       1     4.0
   -71.25   -32.75    1959     160       2     3.9
   -71.25   -32.75    1959     160       3     4.1
   -71.25   -32.75    1959     160       4     5.9
   -71.25   -32.75    1960       0       0    12.4
   -71.25   -32.75    1960       0       1    95.1
   -71.25   -32.75    1960       0       2     7.1
   -71.25   -32.75    1960       0       3     8.5
   -71.25   -32.75    1960       0       4     8.6
   -71.25   -32.75    1960     110       0     9.4
   -71.25   -32.75    1960     110       1    20.3
   -71.25   -32.75    1960     110       2    10.2
   -71.25   -32.75    1960     110       3     9.1
   -71.25   -32.75    1960     110       4     9.0
   -71.25   -32.75    1960     131       0     9.4
   -71.25   -32.75    1960     131       1    12.7
   -71.25   -32.75    1960     131       2     7.7
   -71.25   -32.75    1960     131       3  1000.0
   -71.25   -32.75    1960     131       4     8.4
   -71.25   -32.75    1960     132       0    13.0
   -71.25   -32.75    1960     132       1    38.4
   -71.25   -32.75    1960     132       2    19.3
   -71.25   -32.75    1960     132       3    14.5
   -71.25   -32.75    1960     132       4    90.2
   -71.25   -32.75    1960     133       0     8.4
   -71.25   -32.75    1960     133       1    16.0
   -71.25   -32.75    1960     133       2  1000.0
   -71.25   -32.75    1960     133       3     8.3
   -71.25   -32.75    1960     133       4     7.3
   -71.25   -32.75    1960     134       0     7.8
   -71.25   -32.75    1960     134       1    14.7
   -71.25   -32.75    1960     134       2     9.8
   -71.25   -32.75    1960     134       3    13.0
   -71.25   -32.75    1960     134       4    26.8
   -71.25   -32.75    1960     140       0    10.4
   -71.25   -32.75    1960     140       1     8.5
   -71.25   -32.75    1960     140       2     8.3
   -71.25   -32.75    1960     140       3     9.4
   -71.25   -32.75    1960     140       4    89.2
   -71.25   -32.75    1960     160       0     7.7
   -71.25   -32.75    1960     160       1     8.6
   -71.25   -32.75    1960     160       2     8.2
   -71.25   -32.75    1960     160       3     8.5
   -71.25   -32.75    1960     160       4     8.8
   -71.25   -32.75    1961       0       0     7.0
   -71.25   -32.75    1961       0       1   123.6
   -71.25   -32.75    1961       0       2     5.8
   -71.25   -32.75    1961       0       3     6.1
   -71.25   -32.75    1961       0       4     9.0
   -71.25   -32.75    1961     110       0     7.9
   -71.25   -32.75    1961     110       1     9.2
   -71.25   -32.75    1961     110       2     7.4
   -71.25   -32.75    1961     110       3     6.0
   -71.25   -32.75    1961     110       4     6.9
   -71.25   -32.75    1961     131       0     8.3
   -71.25   -32.75    1961     131       1    11.0
   -71.25   -32.75    1961     131       2     6.4
   -71.25   -32.75    1961     131       3     7.0
   -71.25   -32.75    1961     131       4    11.4
   -71.25   -32.75    1961     132       0     7.4
   -71.25   -32.75    1961     132       1    24.2
   -71.25   -32.75    1961     132       2     9.0
   -71.25   -32.75    1961     132       3     8.4
   -71.25   -32.75    1961     132       4   121.6
   -71.25   -32.75    1961     133       0     7.7
   -71.25   -32.75    1961     133       1     9.0
   -71.25   -32.75    1961     133       2  1000.0
   -71.25   -32.75    1961     133       3     7.0
   -71.25   -32.75    1961     133       4     6.5
   -71.25   -32.75    1961     134       0     6.5
   -71.25   -32.75    1961     134       1     8.5
   -71.25   -32.75    1961     134       2     8.5
   -71.25   -32.75    1961     134       3     7.6
   -71.25   -32.75    1961     134       4    10.9
   -71.25   -32.75    1961     140       0     8.8
   -71.25   -32.75    1961     140       1     7.6
   -71.25   -32.75    1961     140       2     6.2
   -71.25   -32.75    1961     140       3     6.6
   -71.25   -32.75    1961     140       4   122.0
   -71.25   -32.75    1961     160       0     5.9
   -71.25   -32.75    1961     160       1     7.8
   -71.25   -32.75    1961     160       2     7.4
   -71.25   -32.75    1961     160       3     7.4
   -71.25   -32.75    1961     160       4     7.0
   -71.25   -32.75    1962       0       0     4.5
   -71.25   -32.75    1962       0       1     3.5
   -71.25   -32.75    1962       0       2     8.2
   -71.25   -32.75    1962       0       3     4.0
   -71.25   -32.75    1962       0       4     6.2
   -71.25   -32.75    1962     110       0     7.4
   -71.25   -32.75    1962     110       1     8.1
   -71.25   -32.75    1962     110       2     6.3
   -71.25   -32.75    1962     110       3     5.0
   -71.25   -32.75    1962     110       4     5.1
   -71.25   -32.75    1962     131       0     8.3
   -71.25   -32.75    1962     131       1     8.3
   -71.25   -32.75    1962     131       2    10.2
   -71.25   -32.75    1962     131       3     5.8
   -71.25   -32.75    1962     131       4     8.3
   -71.25   -32.75    1962     132       0     5.2
   -71.25   -32.75    1962     132       1    56.6
   -71.25   -32.75    1962     132       2     6.9
   -71.25   -32.75    1962     132       3     6.8
   -71.25   -32.75    1962     132       4     3.2
   -71.25   -32.75    1962     133       0     7.0
   -71.25   -32.75    1962     133       1     8.5
   -71.25   -32.75    1962     133       2  1000.0
   -71.25   -32.75    1962     133       3     5.2
   -71.25   -32.75    1962     133       4     4.7
   -71.25   -32.75    1962     134       0     4.6
   -71.25   -32.75    1962     134       1     7.3
   -71.25   -32.75    1962     134       2     8.6
   -71.25   -32.75    1962     134       3     4.9
   -71.25   -32.75    1962     134       4    11.0
   -71.25   -32.75    1962     140       0     9.1
   -71.25   -32.75    1962     140       1     7.2
   -71.25   -32.75    1962     140       2     4.0
   -71.25   -32.75    1962     140       3     4.5
   -71.25   -32.75    1962     140       4     3.1
   -71.25   -32.75    1962     160       0     3.8
   -71.25   -32.75    1962     160       1     7.4
   -71.25   -32.75    1962     160       2     6.9
   -71.25   -32.75    1962     160       3     6.6
   -71.25   -32.75    1962     160       4     5.7
   -71.25   -32.75    1963       0       0     4.5
   -71.25   -32.75    1963       0       1    11.6
   -71.25   -32.75    1963       0       2     4.5
   -71.25   -32.75    1963       0       3     4.5
   -71.25   -32.75    1963       0       4     5.1
   -71.25   -32.75    1963     110       0    23.8
   -71.25   -32.75    1963     110       1     8.0
   -71.25   -32.75    1963     110       2     4.2
   -71.25   -32.75    1963     110       3     7.8
   -71.25   -32.75    1963     110       4     6.2
   -71.25   -32.75    1963     131       0     8.7
   -71.25   -32.75    1963     131       1     7.4
   -71.25   -32.75    1963     131       2  1000.0
   -71.25   -32.75    1963     131       3     7.4
   -71.25   -32.75    1963     131       4     6.6
   -71.25   -32.75    1963     132       0    12.0
   -71.25   -32.75    1963     132       1    36.4
   -71.25   -32.75    1963     132       2    13.6
   -71.25   -32.75    1963     132       3    14.3
   -71.25   -32.75    1963     132       4     7.2
   -71.25   -32.75    1963     133       0     4.2
   -71.25   -32.75    1963     133       1     8.0
   -71.25   -32.75    1963     133       2     6.9
   -71.25   -32.75    1963     133       3     6.4
   -71.25   -32.75    1963     133       4     6.6
   -71.25   -32.75    1963     134       0     5.9
   -71.25   -32.75    1963     134       1    91.2
   -71.25   -32.75    1963     134       2     9.2
   -71.25   -32.75    1963     134       3     5.4
   -71.25   -32.75    1963     134       4     9.6
   -71.25   -32.75    1963     140       0     9.4
   -71.25   -32.75    1963     140       1     8.0
   -71.25   -32.75    1963     140       2     5.0
   -71.25   -32.75    1963     140       3    13.5
   -71.25   -32.75    1963     140       4     6.7
   -71.25   -32.75    1963     160       0     4.4
   -71.25   -32.75    1963     160       1     6.1
   -71.25   -32.75    1963     160       2     5.1
   -71.25   -32.75    1963     160       3     7.2
   -71.25   -32.75    1963     160       4     6.8
   -71.25   -32.75    1964       0       0     3.7
   -71.25   -32.75    1964       0       1     6.0
   -71.25   -32.75    1964       0       2     3.4
   -71.25   -32.75    1964       0       3  1000.0
   -71.25   -32.75    1964       0       4     4.1
   -71.25   -32.75    1964     110       0     7.5
   -71.25   -32.75    1964     110       1     6.0
   -71.25   -32.75    1964     110       2     4.6
   -71.25   -32.75    1964     110       3     4.6
   -71.25   -32.75    1964     110       4     4.7
   -71.25   -32.75    1964     131       0     5.7
   -71.25   -32.75    1964     131       1     5.8
   -71.25   -32.75    1964     131       2     5.7
   -71.25   -32.75    1964     131       3     5.7
   -71.25   -32.75    1964     131       4     4.5
   -71.25   -32.75    1964     132       0     5.3
   -71.25   -32.75    1964     132       1    13.2
   -71.25   -32.75    1964     132       2     5.7
   -71.25   -32.75    1964     132       3     5.2
   -71.25   -32.75    1964     132       4     3.4
   -71.25   -32.75    1964     133       0     4.7
   -71.25   -32.75    1964     133       1    10.2
   -71.25   -32.75    1964     133       2     5.4
   -71.25   -32.75    1964     133       3     4.9
   -71.25   -32.75    1964     133       4  1000.0
   -71.25   -32.75    1964     134       0     4.5
   -71.25   -32.75    1964     134       1   118.8
   -71.25   -32.75    1964     134       2     5.6
   -71.25   -32.75    1964     134       3  1000.0
   -71.25   -32.75    1964     134       4     6.4
   -71.25   -32.75    1964     140       0     6.1
   -71.25   -32.75    1964     140       1    10.6
   -71.25   -32.75    1964     140       2     3.9
   -71.25   -32.75    1964     140       3    66.1
   -71.25   -32.75    1964     140       4     3.5
   -71.25   -32.75    1964     160       0     3.5
   -71.25   -32.75    1964     160       1     5.8
   -71.25   -32.75    1964     160       2     5.4
   -71.25   -32.75    1964     160       3     5.2
   -71.25   -32.75    1964     160       4     5.2
   -71.25   -32.75    1965       0       0    12.5
   -71.25   -32.75    1965       0       1    18.8
   -71.25   -32.75    1965       0       2  1000.0
   -71.25   -32.75    1965       0       3  1000.0
   -71.25   -32.75    1965       0       4  1000.0
   -71.25   -32.75    1965     110       0    32.4
   -71.25   -32.75    1965     110       1    23.9
   -71.25   -32.75    1965     110       2    16.1
   -71.25   -32.75    1965     110       3    13.2
   -71.25   -32.75    1965     110       4    17.8
   -71.25   -32.75    1965     131       0    27.1
   -71.25   -32.75    1965     131       1    21.5
   -71.25   -32.75    1965     131       2    18.0
   -71.25   -32.75    1965     131       3  1000.0
   -71.25   -32.75    1965     131       4    13.2
   -71.25   -32.75    1965     132       0    17.4
   -71.25   -32.75    1965     132       1    62.8
   -71.25   -32.75    1965     132       2    30.0
   -71.25   -32.75    1965     132       3    15.7
   -71.25   -32.75    1965     132       4    12.8
   -71.25   -32.75    1965     133       0    17.1
   -71.25   -32.75    1965     133       1    28.6
   -71.25   -32.75    1965     133       2    19.9
   -71.25   -32.75    1965     133       3    17.7
   -71.25   -32.75    1965     133       4  1000.0
   -71.25   -32.75    1965     134       0    16.4
   -71.25   -32.75    1965     134       1     5.8
   -71.25   -32.75    1965     134       2    25.5
   -71.25   -32.75    1965     134       3  1000.0
   -71.25   -32.75    1965     134       4    21.6
   -71.25   -32.75    1965     140       0    18.6
   -71.25   -32.75    1965     140       1    41.0
